Date,DishID,Vegetarian,Price,QuantitySold,DayOfWeek,Occasion
01-01-2022,1,No,100,2,Saturday,None
01-01-2022,2,Yes,150,25,Saturday,None
01-01-2022,3,No,200,10,Saturday,None
01-01-2022,4,Yes,250,4,Saturday,None
01-01-2022,5,No,300,24,Saturday,None
01-01-2022,6,Yes,350,8,Saturday,None
01-01-2022,7,No,400,24,Saturday,None
01-01-2022,8,Yes,450,29,Saturday,None
01-01-2022,9,No,500,16,Saturday,None
01-01-2022,10,Yes,550,2,Saturday,None
02-01-2022,1,No,100,0,Sunday,None
02-01-2022,2,Yes,150,9,Sunday,None
02-01-2022,3,No,200,16,Sunday,None
02-01-2022,4,Yes,250,27,Sunday,None
02-01-2022,5,No,300,13,Sunday,None
02-01-2022,6,Yes,350,18,Sunday,None
02-01-2022,7,No,400,8,Sunday,None
02-01-2022,8,Yes,450,19,Sunday,None
02-01-2022,9,No,500,23,Sunday,None
02-01-2022,10,Yes,550,7,Sunday,None
03-01-2022,1,No,100,29,Monday,None
03-01-2022,2,Yes,150,19,Monday,None
03-01-2022,3,No,200,17,Monday,None
03-01-2022,4,Yes,250,11,Monday,None
03-01-2022,5,No,300,19,Monday,None
03-01-2022,6,Yes,350,24,Monday,None
03-01-2022,7,No,400,28,Monday,None
03-01-2022,8,Yes,450,1,Monday,None
03-01-2022,9,No,500,24,Monday,None
03-01-2022,10,Yes,550,12,Monday,None
04-01-2022,1,No,100,8,Tuesday,None
04-01-2022,2,Yes,150,4,Tuesday,None
04-01-2022,3,No,200,11,Tuesday,None
04-01-2022,4,Yes,250,28,Tuesday,None
04-01-2022,5,No,300,1,Tuesday,None
04-01-2022,6,Yes,350,16,Tuesday,None
04-01-2022,7,No,400,19,Tuesday,None
04-01-2022,8,Yes,450,18,Tuesday,None
04-01-2022,9,No,500,24,Tuesday,None
04-01-2022,10,Yes,550,14,Tuesday,None
05-01-2022,1,No,100,24,Wednesday,None
05-01-2022,2,Yes,150,3,Wednesday,None
05-01-2022,3,No,200,21,Wednesday,None
05-01-2022,4,Yes,250,18,Wednesday,None
05-01-2022,5,No,300,3,Wednesday,None
05-01-2022,6,Yes,350,20,Wednesday,None
05-01-2022,7,No,400,19,Wednesday,None
05-01-2022,8,Yes,450,25,Wednesday,None
05-01-2022,9,No,500,10,Wednesday,None
05-01-2022,10,Yes,550,17,Wednesday,None
06-01-2022,1,No,100,29,Thursday,None
06-01-2022,2,Yes,150,3,Thursday,None
06-01-2022,3,No,200,21,Thursday,None
06-01-2022,4,Yes,250,16,Thursday,None
06-01-2022,5,No,300,4,Thursday,None
06-01-2022,6,Yes,350,14,Thursday,None
06-01-2022,7,No,400,3,Thursday,None
06-01-2022,8,Yes,450,9,Thursday,None
06-01-2022,9,No,500,23,Thursday,None
06-01-2022,10,Yes,550,7,Thursday,None
07-01-2022,1,No,100,4,Friday,None
07-01-2022,2,Yes,150,23,Friday,None
07-01-2022,3,No,200,2,Friday,None
07-01-2022,4,Yes,250,13,Friday,None
07-01-2022,5,No,300,24,Friday,None
07-01-2022,6,Yes,350,6,Friday,None
07-01-2022,7,No,400,27,Friday,None
07-01-2022,8,Yes,450,7,Friday,None
07-01-2022,9,No,500,25,Friday,None
07-01-2022,10,Yes,550,27,Friday,None
08-01-2022,1,No,100,25,Saturday,None
08-01-2022,2,Yes,150,13,Saturday,None
08-01-2022,3,No,200,19,Saturday,None
08-01-2022,4,Yes,250,4,Saturday,None
08-01-2022,5,No,300,18,Saturday,None
08-01-2022,6,Yes,350,7,Saturday,None
08-01-2022,7,No,400,3,Saturday,None
08-01-2022,8,Yes,450,1,Saturday,None
08-01-2022,9,No,500,7,Saturday,None
08-01-2022,10,Yes,550,2,Saturday,None
09-01-2022,1,No,100,3,Sunday,None
09-01-2022,2,Yes,150,25,Sunday,None
09-01-2022,3,No,200,29,Sunday,None
09-01-2022,4,Yes,250,22,Sunday,None
09-01-2022,5,No,300,15,Sunday,None
09-01-2022,6,Yes,350,9,Sunday,None
09-01-2022,7,No,400,28,Sunday,None
09-01-2022,8,Yes,450,11,Sunday,None
09-01-2022,9,No,500,25,Sunday,None
09-01-2022,10,Yes,550,25,Sunday,None
10-01-2022,1,No,100,9,Monday,None
10-01-2022,2,Yes,150,4,Monday,None
10-01-2022,3,No,200,11,Monday,None
10-01-2022,4,Yes,250,5,Monday,None
10-01-2022,5,No,300,5,Monday,None
10-01-2022,6,Yes,350,19,Monday,None
10-01-2022,7,No,400,12,Monday,None
10-01-2022,8,Yes,450,25,Monday,None
10-01-2022,9,No,500,5,Monday,None
10-01-2022,10,Yes,550,1,Monday,None
11-01-2022,1,No,100,21,Tuesday,None
11-01-2022,2,Yes,150,25,Tuesday,None
11-01-2022,3,No,200,22,Tuesday,None
11-01-2022,4,Yes,250,1,Tuesday,None
11-01-2022,5,No,300,23,Tuesday,None
11-01-2022,6,Yes,350,1,Tuesday,None
11-01-2022,7,No,400,12,Tuesday,None
11-01-2022,8,Yes,450,20,Tuesday,None
11-01-2022,9,No,500,4,Tuesday,None
11-01-2022,10,Yes,550,20,Tuesday,None
12-01-2022,1,No,100,17,Wednesday,None
12-01-2022,2,Yes,150,10,Wednesday,None
12-01-2022,3,No,200,14,Wednesday,None
12-01-2022,4,Yes,250,5,Wednesday,None
12-01-2022,5,No,300,12,Wednesday,None
12-01-2022,6,Yes,350,21,Wednesday,None
12-01-2022,7,No,400,4,Wednesday,None
12-01-2022,8,Yes,450,11,Wednesday,None
12-01-2022,9,No,500,19,Wednesday,None
12-01-2022,10,Yes,550,18,Wednesday,None
13-01-2022,1,No,100,3,Thursday,None
13-01-2022,2,Yes,150,18,Thursday,None
13-01-2022,3,No,200,8,Thursday,None
13-01-2022,4,Yes,250,16,Thursday,None
13-01-2022,5,No,300,0,Thursday,None
13-01-2022,6,Yes,350,24,Thursday,None
13-01-2022,7,No,400,16,Thursday,None
13-01-2022,8,Yes,450,25,Thursday,None
13-01-2022,9,No,500,28,Thursday,None
13-01-2022,10,Yes,550,14,Thursday,None
